t (s);x (m);        y (m)
0;1;0.5
0.02;1.01000004;0.517992
0.04;1.02000032;0.535968
0.06;1.03000108;0.553928
0.08;1.04000256;0.571872
0.1;1.050005;0.5898
0.12;1.06000864;0.607712
0.14;1.07001372;0.625608
0.16;1.08002048;0.643488
0.18;1.09002916;0.661352
0.2;1.10004;0.6792
0.22;1.11005324;0.697032
0.24;1.12006912;0.714848
0.26;1.13008788;0.732648
0.28;1.14010976;0.750432
0.3;1.150135;0.7682
0.32;1.16016384;0.785952
0.34;1.17019652;0.803688
0.36;1.18023328;0.821408
0.38;1.19027436;0.839112
0.4;1.20032;0.8568
0.42;1.21037044;0.874472
0.44;1.22042592;0.892128
0.46;1.23048668;0.909768
0.48;1.24055296;0.927392
0.5;1.250625;0.945
0.52;1.26070304;0.962592
0.54;1.27078732;0.980168
0.56;1.28087808;0.997728
0.58;1.29097556;1.015272
0.6;1.30108;1.0328
0.62;1.31119164;1.050312
0.64;1.32131072;1.067808
0.66;1.33143748;1.085288
0.68;1.34157216;1.102752
0.7;1.351715;1.1202
0.72;1.36186624;1.137632
0.74;1.37202612;1.155048
0.76;1.38219488;1.172448
0.78;1.39237276;1.189832
0.8;1.40256;1.2072
0.82;1.41275684;1.224552
0.84;1.42296352;1.241888
0.86;1.43318028;1.259208
0.88;1.44340736;1.276512
0.9;1.453645;1.2938
0.92;1.46389344;1.311072
0.94;1.47415292;1.328328
0.96;1.48442368;1.345568
0.98;1.49470596;1.362792
1;1.505;1.38
1.02;1.51530604;1.397192
1.04;1.52562432;1.414368
1.06;1.53595508;1.431528
1.08;1.54629856;1.448672
1.1;1.556655;1.4658
1.12;1.56702464;1.482912
1.14;1.57740772;1.500008
1.16;1.58780448;1.517088
1.18;1.59821516;1.534152
1.2;1.60864;1.5512
1.22;1.61907924;1.568232
1.24;1.62953312;1.585248
1.26;1.64000188;1.602248
1.28;1.65048576;1.619232
1.3;1.660985;1.6362
1.32;1.67149984;1.653152
1.34;1.68203052;1.670088
1.36;1.69257728;1.687008
1.38;1.70314036;1.703912
1.4;1.71372;1.7208
1.42;1.72431644;1.737672
1.44;1.73492992;1.754528
1.46;1.74556068;1.771368
1.48;1.75620896;1.788192
1.5;1.766875;1.805
1.52;1.77755904;1.821792
1.54;1.78826132;1.838568
1.56;1.79898208;1.855328
1.58;1.80972156;1.872072
1.6;1.82048;1.8888
1.62;1.83125764;1.905512
1.64;1.84205472;1.922208
1.66;1.85287148;1.938888
1.68;1.86370816;1.955552
1.7;1.874565;1.9722
1.72;1.88544224;1.988832
1.74;1.89634012;2.005448
1.76;1.90725888;2.022048
1.78;1.91819876;2.038632
1.8;1.92916;2.0552
1.82;1.94014284;2.071752
1.84;1.95114752;2.088288
1.86;1.96217428;2.104808
1.88;1.97322336;2.121312
1.9;1.984295;2.1378
1.92;1.99538944;2.154272
1.94;2.00650692;2.170728
1.96;2.01764768;2.187168
1.98;2.02881196;2.203592
2;2.04;2.22
2.02;2.05121204;2.236392
2.04;2.06244832;2.252768
2.06;2.07370908;2.269128
2.08;2.08499456;2.285472
2.1;2.096305;2.3018
2.12;2.10764064;2.318112
2.14;2.11900172;2.334408
2.16;2.13038848;2.350688
2.18;2.14180116;2.366952
2.2;2.15324;2.3832
2.22;2.16470524;2.399432
2.24;2.17619712;2.415648
2.26;2.18771588;2.431848
2.28;2.19926176;2.448032
2.3;2.210835;2.4642
2.32;2.22243584;2.480352
2.34;2.23406452;2.496488
2.36;2.24572128;2.512608
2.38;2.25740636;2.528712
2.4;2.26912;2.5448
2.42;2.28086244;2.560872
2.44;2.29263392;2.576928
2.46;2.30443468;2.592968
2.48;2.31626496;2.608992
2.5;2.328125;2.625
2.52;2.34001504;2.640992
2.54;2.35193532;2.656968
2.56;2.36388608;2.672928
2.58;2.37586756;2.688872
2.6;2.38788;2.7048
2.62;2.39992364;2.720712
2.64;2.41199872;2.736608
2.66;2.42410548;2.752488
2.68;2.43624416;2.768352
2.7;2.448415;2.7842
2.72;2.46061824;2.800032
2.74;2.47285412;2.815848
2.76;2.48512288;2.831648
2.78;2.49742476;2.847432
2.8;2.50976;2.8632
2.82;2.52212884;2.878952
2.84;2.53453152;2.894688
2.86;2.54696828;2.910408
2.88;2.55943936;2.926112
2.9;2.571945;2.9418
2.92;2.58448544;2.957472
2.94;2.59706092;2.973128
2.96;2.60967168;2.988768
2.98;2.62231796;3.004392
3;2.635;3.02
3.02;2.64771804;3.035592
3.04;2.66047232;3.051168
3.06;2.67326308;3.066728
3.08;2.68609056;3.082272
3.1;2.698955;3.0978
3.12;2.71185664;3.113312
3.14;2.72479572;3.128808
3.16;2.73777248;3.144288
3.18;2.75078716;3.159752
3.2;2.76384;3.1752
3.22;2.77693124;3.190632
3.24;2.79006112;3.206048
3.26;2.80322988;3.221448
3.28;2.81643776;3.236832
3.3;2.829685;3.2522
3.32;2.84297184;3.267552
3.34;2.85629852;3.282888
3.36;2.86966528;3.298208
3.38;2.88307236;3.313512
3.4;2.89652;3.3288
3.42;2.91000844;3.344072
3.44;2.92353792;3.359328
3.46;2.93710868;3.374568
3.48;2.95072096;3.389792
3.5;2.964375;3.405
3.52;2.97807104;3.420192
3.54;2.99180932;3.435368
3.56;3.00559008;3.450528
3.58;3.01941356;3.465672
3.6;3.03328;3.4808
3.62;3.04718964;3.495912
3.64;3.06114272;3.511008
3.66;3.07513948;3.526088
3.68;3.08918016;3.541152
3.7;3.103265;3.5562
3.72;3.11739424;3.571232
3.74;3.13156812;3.586248
3.76;3.14578688;3.601248
3.78;3.16005076;3.616232
3.8;3.17436;3.6312
3.82;3.18871484;3.646152
3.84;3.20311552;3.661088
3.86;3.21756228;3.676008
3.88;3.23205536;3.690912
3.9;3.246595;3.7058
3.92;3.26118144;3.720672
3.94;3.27581492;3.735528
3.96;3.29049568;3.750368
3.98;3.30522396;3.765192
4;3.32;3.78
4.02;3.33482404;3.794792
4.04;3.34969632;3.809568
4.06;3.36461708;3.824328
4.08;3.37958656;3.839072
4.1;3.394605;3.8538
4.12;3.40967264;3.868512
4.14;3.42478972;3.883208
4.16;3.43995648;3.897888
4.18;3.45517316;3.912552
4.2;3.47044;3.9272
4.22;3.48575724;3.941832
4.24;3.50112512;3.956448
4.26;3.51654388;3.971048
4.28;3.53201376;3.985632
4.3;3.547535;4.0002
4.32;3.56310784;4.014752
4.34;3.57873252;4.029288
4.36;3.59440928;4.043808
4.38;3.61013836;4.058312
4.4;3.62592;4.0728
4.42;3.64175444;4.087272
4.44;3.65764192;4.101728
4.46;3.67358268;4.116168
4.48;3.68957696;4.130592
4.5;3.705625;4.145
4.52;3.72172704;4.159392
4.54;3.73788332;4.173768
4.56;3.75409408;4.188128
4.58;3.77035956;4.202472
4.6;3.78668;4.2168
4.62;3.80305564;4.231112
4.64;3.81948672;4.245408
4.66;3.83597348;4.259688
4.68;3.85251616;4.273952
4.7;3.869115;4.2882
4.72;3.88577024;4.302432
4.74;3.90248212;4.316648
4.76;3.91925088;4.330848
4.78;3.93607676;4.345032
4.8;3.95296;4.3592
4.82;3.96990084;4.373352
4.84;3.98689952;4.387488
4.86;4.00395628;4.401608
4.88;4.02107136;4.415712
4.9;4.038245;4.4298
4.92;4.05547744;4.443872
4.94;4.07276892;4.457928
4.96;4.09011968;4.471968
4.98;4.10752996;4.485992
5;4.125;4.5
5.02;4.14253004;4.513992
5.04;4.16012032;4.527968
5.06;4.17777108;4.541928
5.08;4.19548256;4.555872
5.1;4.213255;4.5698
5.12;4.23108864;4.583712
5.14;4.24898372;4.597608
5.16;4.26694048;4.611488
5.18;4.28495916;4.625352
5.2;4.30304;4.6392
5.22;4.32118324;4.653032
5.24;4.33938912;4.666848
5.26;4.35765788;4.680648
5.28;4.37598976;4.694432
5.3;4.394385;4.7082
5.32;4.41284384;4.721952
5.34;4.43136652;4.735688
5.36;4.44995328;4.749408
5.38;4.46860436;4.763112
5.4;4.48732;4.7768
5.42;4.50610044;4.790472
5.44;4.52494592;4.804128
5.46;4.54385668;4.817768
5.48;4.56283296;4.831392
5.5;4.581875;4.845
5.52;4.60098304;4.858592
5.54;4.62015732;4.872168
5.56;4.63939808;4.885728
5.58;4.65870556;4.899272
5.6;4.67808;4.9128
5.62;4.69752164;4.926312
5.64;4.71703072;4.939808
5.66;4.73660748;4.953288
5.68;4.75625216;4.966752
5.7;4.775965;4.9802
5.72;4.79574624;4.993632
5.74;4.81559612;5.007048
5.76;4.83551488;5.020448
5.78;4.85550276;5.033832
5.8;4.87556;5.0472
5.82;4.89568684;5.060552
5.84;4.91588352;5.073888
5.86;4.93615028;5.087208
5.88;4.95648736;5.100512
5.9;4.976895;5.1138
5.92;4.99737344;5.127072
5.94;5.01792292;5.140328
5.96;5.03854368;5.153568
5.98;5.05923596;5.166792
6;5.08;5.18
6.02;5.10083604;5.193192
6.04;5.12174432;5.206368
6.06;5.14272508;5.219528
6.08;5.16377856;5.232672
6.1;5.184905;5.2458
6.12;5.20610464;5.258912
6.14;5.22737772;5.272008
6.16;5.24872448;5.285088
6.18;5.27014516;5.298152
6.2;5.29164;5.3112
6.22;5.31320924;5.324232
6.24;5.33485312;5.337248
6.26;5.35657188;5.350248
6.28;5.37836576;5.363232
6.3;5.400235;5.3762
6.32;5.42217984;5.389152
6.34;5.44420052;5.402088
6.36;5.46629728;5.415008
6.38;5.48847036;5.427912
6.4;5.51072;5.4408
6.42;5.53304644;5.453672
6.44;5.55544992;5.466528
6.46;5.57793068;5.479368
6.48;5.60048896;5.492192
6.5;5.623125;5.505
6.52;5.64583904;5.517792
6.54;5.66863132;5.530568
6.56;5.69150208;5.543328
6.58;5.71445156;5.556072
6.6;5.73748;5.5688
6.62;5.76058764;5.581512
6.64;5.78377472;5.594208
6.66;5.80704148;5.606888
6.68;5.83038816;5.619552
6.7;5.853815;5.6322
6.72;5.87732224;5.644832
6.74;5.90091012;5.657448
6.76;5.92457888;5.670048
6.78;5.94832876;5.682632
6.8;5.97216;5.6952
6.82;5.99607284;5.707752
6.84;6.02006752;5.720288
6.86;6.04414428;5.732808
6.88;6.06830336;5.745312
6.9;6.092545;5.7578
6.92;6.11686944;5.770272
6.94;6.14127692;5.782728
6.96;6.16576768;5.795168
6.98;6.19034196;5.807592
7;6.215;5.82
7.02;6.23974204;5.832392
7.04;6.26456832;5.844768
7.06;6.28947908;5.857128
7.08;6.31447456;5.869472
7.1;6.339555;5.8818
7.12;6.36472064;5.894112
7.14;6.38997172;5.906408
7.16;6.41530848;5.918688
7.18;6.44073116;5.930952
7.2;6.46624;5.9432
7.22;6.49183524;5.955432
7.24;6.51751712;5.967648
7.26;6.54328588;5.979848
7.28;6.56914176;5.992032
